date,index
2013/04/01,2493.187
2013/04/02,2486.391
2013/04/03,2483.547
2013/04/08,2472.299
2013/04/09,2489.43
2013/04/10,2485.309
2013/04/11,2477.876
2013/04/12,2462.112
2013/04/15,2436.818
2013/04/16,2459.592
2013/04/17,2458.473
2013/04/18,2464.851
2013/04/19,2533.827
2013/04/22,2530.67
2013/04/23,2449.471
2013/04/24,2495.579
2013/04/25,2467.875
2013/04/26,2447.306
2013/05/02,2449.639
2013/05/03,2492.912
2013/05/06,2525.983
2013/05/07,2529.938
2013/05/08,2542.798
2013/05/09,2527.794
2013/05/10,2540.836
2013/05/13,2530.768
2013/05/14,2493.338
2013/05/15,2506.925
2013/05/16,2552.709
2013/05/17,2592.048
2013/05/20,2609.607
2013/05/21,2614.853
2013/05/22,2618.034
2013/05/23,2582.849
2013/05/24,2597.228
2013/05/27,2599.587
2013/05/28,2644.359
2013/05/29,2642.561
2013/05/30,2634.323
2013/05/31,2606.426
2013/06/03,2602.623
2013/06/04,2565.666
2013/06/05,2560.539
2013/06/06,2527.845
2013/06/07,2484.16
2013/06/13,2399.937
2013/06/14,2416.771
2013/06/17,2403.839
2013/06/18,2418.745
2013/06/19,2400.765
2013/06/20,2321.466
2013/06/21,2317.394
2013/06/24,2171.21
2013/06/25,2165.421
2013/06/26,2168.297
2013/06/27,2160.735
2013/06/28,2200.639
2013/07/01,2213.317
2013/07/02,2221.984
2013/07/03,2203.828
2013/07/04,2221.979
2013/07/05,2226.849
2013/07/08,2163.619
2013/07/09,2162.669
2013/07/10,2224.065
2013/07/11,2326.688
2013/07/12,2275.373
2013/07/15,2307.297
2013/07/16,2317.848
2013/07/17,2282.836
2013/07/18,2245.328
2013/07/19,2190.478
2013/07/22,2202.189
2013/07/23,2265.845
2013/07/24,2249.151
2013/07/25,2237.683
2013/07/26,2224.008
2013/07/29,2175.97
2013/07/30,2189.388
2013/07/31,2193.021
2013/08/01,2245.364
2013/08/02,2247.263
2013/08/05,2278.329
2013/08/06,2293.641
2013/08/07,2280.623
2013/08/08,2276.782
2013/08/09,2286.01
2013/08/12,2352.794
2013/08/13,2359.068
2013/08/14,2349.08
2013/08/15,2321.576
2013/08/16,2304.144
2013/08/19,2331.43
2013/08/20,2312.465
2013/08/21,2308.589
2013/08/22,2303.932
2013/08/23,2286.929
2013/08/26,2335.616
2013/08/27,2340.881
2013/08/28,2328.056
2013/08/29,2318.311
2013/08/30,2313.91
2013/09/02,2320.344
2013/09/03,2354.502
2013/09/04,2350.699
2013/09/05,2341.735
2013/09/06,2357.782
2013/09/09,2440.609
2013/09/10,2474.894
2013/09/11,2482.889
2013/09/12,2507.455
2013/09/13,2488.902
2013/09/16,2478.39
2013/09/17,2427.322
2013/09/18,2432.51
2013/09/23,2472.288
2013/09/24,2443.885
2013/09/25,2429.03
2013/09/26,2384.443
2013/09/27,2394.971
2013/09/30,2409.037
2013/10/08,2441.811
2013/10/09,2453.583
2013/10/10,2429.317
2013/10/11,2468.508
2013/10/14,2472.542
2013/10/15,2467.517
2013/10/16,2421.371
2013/10/17,2413.33
2013/10/18,2426.054
2013/10/21,2471.322
2013/10/22,2445.891
2013/10/23,2418.491
2013/10/24,2400.511
2013/10/25,2368.559
2013/10/28,2365.954
2013/10/29,2372.053
2013/10/30,2407.471
2013/10/31,2373.718
2013/11/01,2384.96
2013/11/04,2380.454
2013/11/05,2383.769
2013/11/06,2353.568
2013/11/07,2340.552
